Gap Length (Bases), Gap Count, total gap count, gap rate
1, 161399,,
2, 69354,,
3, 46019,,
4, 36418,,
5, 23761,,
6, 18444,,
7, 14520,,
8, 12498,,
9, 10707,,
10, 9254,,
11, 7860,,
12, 7107,,
13, 6296,,
14, 5474,,
15, 4992,,
16, 4307,,
17, 3851,,
18, 3504,,
19, 2956,,
20, 2680,,
21, 2435,,
22, 2112,,
23, 1893,,
24, 1783,,
25, 1641,,
26, 1435,,
27, 1316,,
28, 1286,,
29, 1101,,
30, 1018,,
31, 859,,
32, 841,,
33, 750,,
34, 675,,
35, 664,,
36, 631,,
37, 540,,
38, 519,,
39, 466,,
40, 428,,
41, 404,,
42, 430,,
43, 419,,
44, 371,,
45, 346,,
46, 336,,
47, 316,,
48, 322,,
49, 288,,
50, 254,,
51, 266,,
52, 227,,
53, 253,,
54, 224,,
55, 208,,
56, 214,,
57, 192,,
58, 198,,
59, 155,,
60, 152,,
61, 161,,
62, 151,,
63, 172,,
64, 137,,
65, 130,,
66, 132,,
67, 142,,
68, 145,,
69, 118,,
70, 133,,
71, 122,,
72, 109,,
73, 119,,
74, 115,,
75, 105,,
76, 89,,
77, 113,,
78, 106,,
79, 95,,
80, 87,,
81, 83,,
82, 84,,
83, 91,,
84, 79,,
85, 71,,
86, 76,,
87, 78,,
88, 58,,
89, 77,,
90, 75,,
91, 70,,
92, 66,,
93, 52,,
94, 81,,
95, 70,,
96, 52,,
97, 58,,
98, 59,,
99, 67,,
100, 50,,
,,483247,0.027169082
