Gap Length (Bases), Gap Count, total gap count, gap rate
1, 24435,,
2, 9072,,
3, 5397,,
4, 5393,,
5, 2419,,
6, 1895,,
7, 1219,,
8, 1387,,
9, 805,,
10, 778,,
11, 495,,
12, 677,,
13, 368,,
14, 423,,
15, 271,,
16, 397,,
17, 215,,
18, 257,,
19, 185,,
20, 214,,
21, 140,,
22, 159,,
23, 108,,
24, 163,,
25, 107,,
26, 82,,
27, 68,,
28, 71,,
29, 51,,
30, 74,,
31, 55,,
32, 66,,
33, 38,,
34, 49,,
35, 34,,
36, 37,,
37, 32,,
38, 33,,
39, 32,,
40, 36,,
41, 16,,
42, 38,,
43, 21,,
44, 40,,
45, 24,,
46, 25,,
47, 24,,
48, 27,,
49, 17,,
50, 20,,
51, 16,,
52, 10,,
53, 14,,
54, 20,,
55, 12,,
56, 17,,
57, 10,,
58, 14,,
59, 9,,
60, 19,,
61, 11,,
62, 12,,
63, 12,,
64, 17,,
65, 9,,
66, 16,,
67, 9,,
68, 11,,
69, 7,,
70, 4,,
71, 12,,
72, 8,,
73, 7,,
74, 10,,
75, 7,,
76, 6,,
77, 7,,
78, 11,,
79, 6,,
80, 11,,
81, 7,,
82, 8,,
83, 2,,
84, 8,,
85, 1,,
86, 11,,
87, 4,,
88, 6,,
89, 8,,
90, 9,,
91, 7,,
92, 9,,
93, 3,,
94, 3,,
95, 4,,
96, 2,,
97, 2,,
98, 5,,
99, 3,,
100, 2,,
,,58427,0.0017763561
